id,genre,track_name,artist_name,valence,energy,label
3MCRz5li4Sp6SKfz2tqxn0,blues,John the Revelator,Blind Willie Johnson,0.503,0.334,3
59YQ2ODxWIlphKx7dk1Am2,blues,You Know My Love,Otis Rush,0.828,0.279,0
2uRHKB4BYOF2A6a6PZXKE0,blues,"Shame, Shame, Shame",Jimmy Reed,0.9,0.498,0
1XRSazlB37HWPch5mSEOlR,blues,Give Me Back My Wig,Hound Dog Taylor,0.772,0.709,0
1TyCTyCab7MMTadRWoXYbT,blues,Trouble No More - Live At The Fillmore East/1971,Allman Brothers Band,0.665,0.73,3
6rTKHtkWjoe7pRuyFSwwfX,blues,Five Long Years,Eric Clapton,0.689,0.618,3
2XJBHxDHgimhJ67fzpp8Ip,blues,Your Heart Is As Black As Night,Joe Bonamassa,0.169,0.449,2
6ZUzDtrF8d2MCYIp1MkXj1,blues,Crying Won't Help You,B.B. King,0.796,0.46,0
57460SJgSpCXaRJ9YIYHxy,blues,Going Up The Country,Canned Heat,0.765,0.239,0
6yOD1Iqs8ca5FeaCLzKtpl,bossanova,Dia Da Criação,Vinícius de Moraes,0.354,0.244,1
1JJd5BIWyuoTN5rsa2G58H,bossanova,Amor de Nada,Marcos Valle,0.68,0.495,3
5ObbENesRKdAzkvvPXrSM7,bossanova,"Zanga, Zangada",Wanda Sá,0.581,0.478,3
00atywJHIvpX8QqfSPL8XC,bossanova,Se e Tarde Me Perdoa,João Gilberto,0.57,0.127,3
68DAOlJ65SkNY2I4rk8ImC,bossanova,Um Nome de Mulher,Antônio Carlos Jobim,0.378,0.356,1
3xLa3PKaUzRyfekcIlvl13,bossanova,Só Danço Samba,Eddy Palermo,0.723,0.614,3
7EV9DlJQ67pGsPGpLXioKC,bossanova,Corcovado - Quiet Night,Palmyra & Levita,0.238,0.148,2
5vxyNj8kTdUQkOU3KEXT1z,bossanova,Ficar,Bossacucanova,0.737,0.726,0
3QP4cdemX0QJ820UBGn54u,bossanova,Brigas Nunca Mais,João Gilberto,0.686,0.175,3
6xif362IzaqhDcN9OyDqvm,bossanova,Samba Do Aviao,Toquinho,0.612,0.539,3
6zQTiw3M1p58eklHhCBWyi,brazil,Coisas Que Eu Sei,Danni Carlos,0.401,0.352,1
6mOdAPdACSVkUIyaRPjkAv,brazil,Admirável Chip Novo,Pitty,0.437,0.77,1
4d0DpU7Odiv0ztvX2GxJlk,brazil,Exagerado,Cazuza,0.822,0.663,0
1KlC2yGobg0mBMAIJ3OrX2,brazil,Cara valente,Maria Rita,0.645,0.56,3
31svfXMDnt8sgu4SuDqL2K,brazil,Apenas Mais uma de Amor,Lulu Santos,0.303,0.357,1
265UWKABWdpx65MsMCepS8,brazil,"Amor, Amor",Wanessa Camargo,0.525,0.863,3
31NSDwCjIRYaPJW3tNNGUv,brazil,Alforria,Forfun,0.917,0.849,0
2EEMetkYSqxIRMpptSqxmx,brazil,Preciso me encontrar,Cartola,0.688,0.516,3
3o9QS7tLm7YskEG7NWbpcz,brazil,Tente outra vez,Raul Seixas,0.337,0.526,1
7e1OrZHVcoXkP4hxLjP3oA,brazil,Subirusdoistiozin,Criolo,0.558,0.503,3
6MZAfPueIvw0a86iHQOCFw,breakbeat,The Outsider,Lack Of Afro,0.46,0.836,1
02G4zfV9qNd9AvOqJcjtTr,breakbeat,Get The Fuck Up,Stupid Fresh,0.475,0.739,1
1HS4VWmqVKoT0B0PBUwsTi,breakbeat,Bodywork - Original Mix,Stanton Warriors,0.536,0.898,3
3YL3EgJB3zzUEZJGgVOpCq,breakbeat,Intersection,Technimatic,0.705,0.886,3
66Z5YWydHwTLbK8vAxbUgO,breakbeat,The Breaks 2020,Fendaheads,0.81,0.923,0
5TgJDjMrpp8Cu5M6cWruyZ,breakbeat,Pray For You,Plump DJs,0.885,0.855,0
3uOKs4wI8KNm1GU8KRh4pl,breakbeat,Death of the Prodigy Dancers (Live),The Prodigy,0.325,0.787,1
0uqcvSDWHRekIdZK4SqGsL,breakbeat,Beauty Never Fades (feat. Saffron),Junkie XL,0.0929,0.857,2
2Pzf5bOoKRLkjItJXujrP6,breakbeat,Star 69 - Rogue Element Remix,Fatboy Slim,0.933,0.889,0
7nQtE3wIh8WNnEXuq1sdym,breakbeat,Twister,Drumattic Twins,0.746,0.964,0
2qrL1YF9aA865b6SKhLZ78,british,Girls & Boys - 2012 Remaster,Blur,0.924,0.936,0
4OjWzYIZxHMZCzNvbcgniD,british,Honky Tonk Women,The Rolling Stones,0.969,0.727,0
72C7aUQECOhNtnD0AC36ua,british,They Don't Know About Us,One Direction,0.336,0.754,1
2nGFzvICaeEWjIrBrL2RAx,british,Put Your Records On,Corinne Bailey Rae,0.542,0.511,3
6Ubz7S4IFSWVxlkMiRyMIK,british,Motorcycle Emptiness,Manic Street Preachers,0.213,0.806,2
6uCkvrBH53QrYOwynsrAbC,british,Baggy Trousers,Madness,0.938,0.861,0
53Nj23LJ7EmjMmg5ycqj8Q,british,Impossible (feat. James Arthur),Alonzo Holt,0.342,0.661,1
4RC5YmcpCbRsX3AtRzoQeh,british,Over Again,One Direction,0.55,0.556,3
6TBmUrZflEhWqkuEWxaoEU,british,Golden Skans,Klaxons,0.723,0.817,3
6MFsT6EQiCoYDuXsIqIdUn,british,Tired,Adele,0.552,0.663,3
4pjEKsxljy4bYd5mdhhR6A,cantopop,勁歌金曲3 - Party King,Leo Ku,0.568,0.754,3
0gERCZvs5AQabbWp8q5fqF,cantopop,分分鐘需要你,George Lam,0.327,0.245,1
2ZZUr3WYhREzHziUNEv0NO,cantopop,問候,Vivian Lai,0.147,0.203,2
11LL62QhKRowZ5qV7NvUUG,cantopop,六月 - 溶雪版,Pong Nan,0.393,0.367,1
75fUsE9ye4B8JgNVEp8lYz,cantopop,Shall We Talk,Eason Chan,0.496,0.309,3
0f9Jg9aqlPOLeWydztw21c,cantopop,共你傷心過,Andy Lau,0.679,0.439,3
2ChltQDbW3HkcUA789IxY0,cantopop,浪漫九龍塘,my little airport,0.923,0.388,0
3YWdxdMwTK3yiqubQixDBt,cantopop,Da Ge,Janice Vidal,0.422,0.412,1
3KJDdlfoBhdyrKy7h9tPnN,cantopop,越吻越傷心,William So,0.32,0.573,1
3hU9nGBhYJQwvF8BJ4PUcE,cantopop,囍帖街,Kay Tse,0.492,0.491,3
5T42BKBpIOkt2YnqKA0hC6,chicago-house,A Path - Original Mix,Fingers Inc,0.809,0.45,0
3RJ5ElzGbqvpssDTXRBV6o,chicago-house,People Hold On (feat. Lisa Stansfield) - Radio Edit,Coldcut,0.753,0.811,0
7rCxMW72SjvEfxF2Xh6Ltg,chicago-house,White Lines (Re-Recorded),Grandmaster Flash,0.786,0.701,0
0PQ9Ug6FDrWZhcmKXy1uj4,chicago-house,My First Mistake,The Chi-Lites,0.723,0.9,3
15c5VXntQypU4XxibIhMhI,chicago-house,Take Some Time Out - Original,Arnold Jarvis,0.76,0.616,0
6mJb8G16Y65z3Xsl4IXxYt,chicago-house,Inner City Life - Baby Boy's Edit,Goldie,0.153,0.606,2
4FDR5NZJe5lGPo1EMOVwHp,chicago-house,Strings Of Life - Martijn ten Velden & Mark Knight Toolroom Mix,Soul Central,0.313,0.971,1
0BENmTpG1SvTxTvoF3RNzq,chicago-house,Planet Rock - Rerecorded Old School Classic Mix,Afrika Bambaataa & The Soulsonic Force,0.649,0.912,3
63MVylJqq9NAJuwXdEb40v,chicago-house,Work Your Body,Professor Funk and The House Brothers,0.963,0.659,0
5E5TuerJ7a9hYU9u4aWgeL,chicago-house,Something Goin' On (In Your Soul),Todd Terry,0.849,0.747,0
4MSvuM0spgn3m4YAkIxsio,children,The Yodeling Veternarian of The Alps,VeggieTales,0.66,0.372,3
4tmIJTSnuvskqsPwB5RCqx,children,This Kiss,Carly Rae Jepsen,0.704,0.88,3
0KpfYajJVVGgQ32Dby7e9i,children,"Hey, Soul Sister",Train,0.768,0.885,0
2Ls4QknWvBoGSeAlNKw0Xj,children,Y.M.C.A.,The Minions,0.879,0.907,0
3jZomvOBa5qfTo5HkqI1p5,children,One Way or Another (Teenage Kicks),One Direction,0.409,0.867,1
2B2NACOT1QShcVDU5cIJL3,children,Ymca,Village People,0.671,0.951,3
6vxHp3CDNo0afgKGp2yi1E,children,Me and Julio Down by the Schoolyard,Paul Simon,0.798,0.816,0
5IWmU2PNimgYuTLddU2DRo,children,Payphone,Maroon 5,0.556,0.744,3
2zihOAUs2XMvr4b2LDB8KN,children,Pictures of Pandas Painting,They Might Be Giants (For Kids),0.818,0.781,0
0jCCQ7ITsYzfnUSQudU24y,children,The Freeze Game,Yo Gabba Gabba,0.86,0.512,0
1KqlVt63Q4bl1VdSlymr5C,chill,Riptide,Vance Joy,0.51,0.731,3
14fmbvjYLqRZEXz1VZdM2M,chill,We Found Love,Rihanna,0.609,0.74,3
7Cg3F9ZsZ2TYUnlza49NYh,chill,Kong,Bonobo,0.674,0.749,3
17VegeBoHvMlIByrdu64KR,chill,Your Song,Elton John,0.289,0.27,1
4KoecuyOpZaNFZ0UqVsllc,chill,Follow Me,Uncle Kracker,0.916,0.585,0
2ihCaVdNZmnHZWt0fvAM7B,chill,Little Talks,Of Monsters and Men,0.417,0.757,1
5IyblF777jLZj1vGHG2UD3,chill,Off To The Races,Lana Del Rey,0.113,0.721,2
0240T0gP9w6xEgIciBrfVF,chill,Talk Is Cheap,Chet Faker,0.52,0.61,3
0SuG9kyzGRpDqrCWtgD6Lq,chill,Give Me Love,Ed Sheeran,0.11,0.328,2
38YgZVHPWOWsKrsCXz6JyP,chill,Come On Get Higher,Matt Nathanson,0.617,0.623,3
0NwyxchEawg8eL8EO2A1DZ,classical,Khovanshchina: Dawn on the Moskva River,Modest Mussorgsky,0.0371,0.0576,2
7oTKvLjCe7db1UxsImGBwr,classical,The Departure,Max Richter,0.117,0.00341,2
70OjkyHJSnoCNtXS4Xz1XB,classical,Sofdu unga astin min (Sweetly Sleeep),Anonymous,0.0692,0.1,2
53KU8BrYZuxZOb3jqDm4ix,classical,"Serenade In G Major ""Eine Kleine Nachtmusik"", K. 525: I. Allegro",Wolfgang Amadeus Mozart,0.335,0.0448,1
7CIoJE0JfVFcmmUY3fFojH,classical,"Hungarian Rhapsody No. 2 in C-Sharp Minor, S. 244/2",Franz Liszt,0.167,0.326,2
252wJ7a1gTi59YZCDYiKu0,classical,Symphony No. 8: I. Allegro moderato,Anton Bruckner,0.0361,0.0863,2
74unAIRMOGUBYZLhIUUztr,classical,Leave My Head Alone Brain Seven,Henrik Schwarz,0.326,0.277,1
4HEoHSEH8cEYGJBzOgXqX3,classical,"3 Pieces for piano, Op.2: No.1. Etude in C Sharp Minor",Alexander Scriabin,0.0677,0.0255,2
0HFjkbNO3zNliDAfQf61th,classical,"Concerto for Orchestra, BB 123: I. Introduzione: Andante non troppo - Allegro vivace",Béla Bartók,0.0384,0.036,2
2ZwJfpIUDvB5F3eiWiBQxO,classical,Honegger: Un grand sommeil noir,Arthur Honegger,0.0393,0.0236,2
53W8npbWVQo61IR8R88pra,club,Papaoutai,Stromae,0.262,0.825,1
2OXK1ShksXD51tOLsE0E7s,club,Tidal Wave,Sub Focus,0.514,0.868,3
5NK982GwMI332zcnpeqX5t,club,Come Alive (feat. Toro y Moi),Chromeo,0.946,0.757,0
2uGJC6Z7vQPkAmk0TVrOhS,club,Delirious (Boneless) (feat. Kid Ink),Steve Aoki,0.917,0.908,0
0l9f6wXRAEXmdUL364u1JE,club,Don't You Worry Child,Swedish House Mafia,0.433,0.772,1
5B80SdObHYOE6fxgvnbeMs,club,Won't Look Back - Radio Edit,Duke Dumont,0.458,0.863,1
483XiZ5o13Cc1zoWV7jGml,club,Gecko (Overdrive) - Radio Edit,Oliver Heldens,0.76,0.885,0
77TT8Xvx637TpzV8kKGkUw,club,Titanium (feat. Sia),David Guetta,0.301,0.788,1
6cPf9tEes3kLf9zXN71z1Q,club,212,Azealia Banks,0.667,0.789,3
77sVUchtzjpetfDZC9L59d,club,Complètement fou,Yelle,0.512,0.506,3
23VLYIq2No1Poo1Wv6Vn0f,comedy,Meatloaf,Cameron Esposito,0.62,0.473,3
1Ha42wEWXr30qjRM4NSLxr,comedy,Hobby,Tom Segura,0.275,0.607,1
2WCNV7XBKv5P58Y7tprWF0,comedy,A Question Of The Heart,Big Jay Oakerson,0.385,0.848,1
6ba3H83IYgwYVnT3VZUxUM,comedy,The Donkey On Full House,Bob Saget,0.575,0.945,3
2Ter3hehVbjh8Yp2rVJcsg,comedy,Being Single Again,Louis C.K.,0.205,0.973,2
36ArfC9UDgQwHwFMLUx8Eb,comedy,Canis Ridiculum,Christian Finnegan,0.333,0.715,1
0ccVVZqPGcLThFL0NvfC0l,comedy,The Hierarchy Of Cookies,Gary Gulman,0.493,0.878,3
5PiSY6VrudzjoDNlwBsDS3,comedy,5,Daniel Tosh,0.236,0.96,2
3jK0R1je00fp52SiKxEOKK,comedy,Cuddling,Brian Posehn,0.41,0.619,1
2pFgpKkRGImFcwgLf87hg5,comedy,"Drugs, Alcoholism, And More Drugs - Explicit Audio",Robin Williams,0.188,0.947,2
02eD9ymfJOJOhM97HYp5R9,country,The House That Built Me,Miranda Lambert,0.206,0.3,2
5522Ut7YYZSv2TjLMLIpEU,country,Peter Pan,Kelsea Ballerini,0.527,0.6,3
6leiB1fEsTnVCuPiielde5,country,Something Like That,Tim McGraw,0.847,0.85,0
4mpUaApNea2QhQshM4xyr4,country,Brand New Girlfriend,Steve Holy,0.72,0.861,3
5Z19ylxppfnfdP4JH0u8oj,country,Break Up in the End,Cole Swindell,0.257,0.372,2
7BjHAdAqV8qeCgslEI460p,country,New Hometown,Mike Ryan,0.482,0.784,1
1WzAeadSKJhqykZFbJNmQv,country,Your Man,Josh Turner,0.785,0.637,0
2N2EoS0dVmkNT0tfI0OYUA,country,This Night Back,Canaan Smith,0.558,0.854,3
527I2eXJfsBEDMvoU1HMWi,country,Long Live The Night,The Reklaws,0.4,0.795,1
7pxhKtuTwofDIdgHx2DcVK,country,Seein' Red,Dustin Lynch,0.858,0.808,0
4v4E2yOYEMCP7pw8eQ8Vr6,dance,Brazil - 2nd Edit,deadmau5,0.107,0.703,2
7e320tQuzm28o3vpHMSgjz,dance,Mr. Saxobeat - Radio Edit,Alexandra Stan,0.781,0.925,0
64aNwFGMo80oq4tod0baBc,dance,Visit from the Grave,Panic Bomber,0.553,0.855,3
6ree5fyVA3tyr2lK1a8NX7,dance,Never Say Never,Basement Jaxx,0.65,0.789,3
0EYVLScBOsMDamnGR9TnCQ,dance,Holding On (feat. Sam Dew),Julio Bashmore,0.377,0.796,1
4q6s5t2iLJ3jUOhhonHawJ,dance,Hot - French Edit,INNA,0.365,0.976,1
1pUsdir2xhSxP0RyBe9lLH,dance,Icarus,Madeon,0.146,0.829,2
3yXmslBa2eTtFI2tSXphR1,dance,Earthquake - Radio Edit,Disco Fries,0.522,0.806,3
2qjDQLzGjzS64QVuG7dH9v,dance,Say Something - LuvBug Remix,Karen Harding,0.708,0.737,3
3c79AfWNOTCGTKWlIRnqry,dance,Brown Sugar - Original Mix,Platinum Doug,0.835,0.796,0
2ajEyNbeRmncM8TmqlVM7w,dancehall,Azonto (feat. Tiffany),Fuse ODG,0.961,0.895,0
35iDOurlfhwUZ7VIrKmOld,dancehall,Walk Out,Elephant Man,0.463,0.934,1
5K9cdnEhCToMb6fso5zjAX,dancehall,Nymphomaniac,Vybz Kartel,0.691,0.797,3
6tzcAGwMffZBe8KOmGNg3o,dancehall,Jump - Raw,RDX,0.859,0.813,0
1ts1zPbYEXIM97Kc83rby0,dancehall,Jah No Partial - feat. Flux Pavilion,Major Lazer,0.376,0.982,1
5X1IPjMTaH0SntkbyjknR4,dancehall,Straight Up,Sean Paul,0.844,0.731,0
2WeikUUAqpBK928IX5hZBu,dancehall,Whine feat. Beenie Man & Natalie Storm,Enur,0.845,0.679,0
2i8ANxEI5rcTRBGqTuHU4X,dancehall,Tuck In U Belly,Left Side & Esco,0.918,0.734,0
3OumMudIuf7v8C6OHRgRX9,dancehall,Kugledans - Radio Edit,EaggerStunn,0.82,0.849,0
31wM5yeh2HvQ1FbzwUbgIR,dancehall,Drik Ud,Wafande,0.914,0.707,0
1XqgFmOLxWfP0FezPiNsO2,death-metal,Lest We Forget,Bolt Thrower,0.159,0.963,2
1COLAXqAZTKPv3S75XYgLp,death-metal,Lunatic of God's Creation,Deicide,0.0661,0.996,2
66QwmGPVzRZRroovq8VpdG,death-metal,Torn To Pieces,Death,0.352,0.89,1
6yGeZeyKXBuZbyGmRJB3ci,death-metal,Scream Of Anger,Arch Enemy,0.204,0.993,2
4LDdJmD0lUvLxAEIKPaDcM,death-metal,Breeding the Spawn,Suffocation,0.427,0.796,1
2WDjO8W8N99T3HkRRHPMi6,death-metal,When Glory Beckons,Bolt Thrower,0.0934,0.961,2
0sh1lcyjYsHKoIAHodonMC,death-metal,Sickening Art,Dismember,0.19,0.927,2
1NjwWF5W9R3XxLWfGSSNlp,death-metal,Pull The Plug,Death,0.306,0.977,1
0QThpNzUK5tssFd9gJd3D2,death-metal,Extreme Unction,Necrophagist,0.249,0.977,2
762I40pqlVmSpXnLZCS2op,death-metal,Way to Salvation,Decapitated,0.429,0.977,1
0fTC0xrissJif4TUDB8EJf,deep-house,"Your Drums, Your Love - Duke Dumont Remix",AlunaGeorge,0.12,0.764,2
717blfiyYTF6mNCFEAsLd5,deep-house,CompuRhythm - Dixon 4/4 Treatment,Dixon,0.468,0.523,1
3xD6xXV5aL0mAS8LbQZQaU,deep-house,Roots (feat. Signaljacker),Chopstick & Johnjon,0.318,0.439,1
4hO2eDEaz4hUTLvN4LN8DQ,deep-house,If U Got It - Radio Edit,Chris Malinchak,0.377,0.723,1
2yQDcQoePYMc2Wal7zABta,deep-house,Somebody to Love,Kyrill & Redford,0.349,0.387,1
0XLulX0KgkeJNxtq663kbw,deep-house,Blue - Mix A,Circulation,0.354,0.554,1
4DbasZyiXWv6NXTPB28qYq,deep-house,Tapes & Money,Totally Enormous Extinct Dinosaurs,0.696,0.852,3
4tRRBhqUZSiiA27cgJUs5W,deep-house,B4 Wuz then,Felix Da Housecat,0.518,0.969,3
7KkYFzk5I27BtRfH9GtohD,deep-house,Lavender,Om Unit,0.323,0.689,1
2yZWWWwsri4JJqRTdhRMG5,deep-house,November Morning,Stimming,0.38,0.313,1
4PVTL8QxMhSUOf2C3UHzAa,detroit-techno,Alpha: Alive,Robert Hood,0.116,0.801,2
2MmmG7288Fc83dD7FWClKq,detroit-techno,Use Me Again - Carl Craig Refix Mix,Tom Trago,0.458,0.76,1
1YlNLEQYi3Rwp0Jm2LuFnT,detroit-techno,Entrance to Metropolis - Blue Potential Version,Jeff Mills,0.0304,0.0396,2
15cisbnZrowZBhJBdKugk6,detroit-techno,The Setup,Moodymann,0.364,0.637,1
